document_name,sentence,label
14-Manufacturing-and-Industry.txt,"飩?the rezoning will not have adverse effect on the Region's environmental values, includinglandscape,flora,fauna,water,andairquality; 飩?the rezoning will not have an adverse effect on the Region's agriculture, tourism, andrecreational activities, oronroads orresidential amenity; 飩?the land is located so that it can be serviced by a major access route and that therewill benoadverseimpacts onsurroundingroads; 飩?asuitablebufferfrom residential development canbeprovided,and 飩?there is adequate provision of essential services and suitable provision for treatment of solid and liquid wastes and disposal of effluent, preferably through theprovisionofreticulatedliquidwastedisposal facilities.",other
14-Manufacturing-and-Industry.txt,14.05 Saw Mills 62.,other
14-Manufacturing-and-Industry.txt,"REGIONALSTRATEGYPLAN - MANUFACTURINGANDINDUSTRY New sawmills may be allowed in existing industrial zones or in appropriate zones withinRural PolicyAreas, providedthat it is demonstratedthat; 飩?thesiteis suitableandcapableofsupportingsuchauseanddevelopment; 飩?there are no physical or environmental constraints affecting the land on which thedevelopment andusewill occur; 飩?detriment tothelandscapevalues oftheareawill beminimised; 飩?thereis adequateprovisionofessential services; 飩?noise and waste discharges to the environment are controlled and are in accordancewithstandards approvedbytheE.P.A.; 飩?the land is not within an area subject to high bush fire danger and that appropriatemeasures forfirepreventionaretaken,and 飩?the land is serviced with suitable vehicular access and the development will not causeadversetrafficimpacts onsurroundingroads.",component
14-Manufacturing-and-Industry.txt,"14.06 Employment Issues In support of the primary purposes for these policies, consideration must be given not only to employment generation, but to servicing the educational and training needs of theRegion's residents.",other
14-Manufacturing-and-Industry.txt,"Ways inwhichthis canbeachievedinclude: 飩?examining ways in which the employment base of the Region can be broadened, includingtertiaryemployment; 飩?working with appropriate authorities to establish new employment initiatives which more adequatelyutilise the readysource of labour, particularlythe young, the unemployed and those on low incomes who have to commute long distances tofindemployment; and 飩?working with appropriate educational bodies to ensure the development of a comprehensive range of training and retraining opportunities for the Region's workforce.",other
16-Recreation-and-Tourism.txt,"The Yarra Valley's reputation for cool-climate quality wines is spreading, with an increasing recognition of the potential for related eating and overnight accommodation facilities, in select parts of the Region.",other
16-Recreation-and-Tourism.txt,"飩?Encourage a diverse range of tourist activities and facilities in appropriate locations, consistent with identified themes.",other
16-Recreation-and-Tourism.txt,"16.18 Roadside Stalls Land within a Rural Policy Area may be used for a roadside stall, subject to planning permit and provided that: 飩?only primary produce normally grown on the land on which the stall is situated, including fruit, vegetables, flowers and other farm produce, is to be sold; and 飩?the location of the roadside stall is appropriate, having regard to traffic considerations; the adequate provision of off-road car parking; and that advertising signs are designed and located so that they do not detract from the landscape character of the area.",permit_related
16-Recreation-and-Tourism.txt,16.10 Tourist Routes Appropriately signed and located tourist routes should be developed as a means of informing the public and to: 飩?assist in planning for recreation and tourism facilities; 飩?assist in the protection of environmentally and landscape sensitive areas; 飩?aid in interpreting the historic and cultural values of the area; and 飩?avoid residential areas where traffic conflicts could arise.,other
16-Recreation-and-Tourism.txt,"Opportunities for recreation and tourism activities and facilities in the Upper Yarra Valley must be promoted, to increase its attractiveness as an alternative to the Dandenong Ranges.",other
16-Recreation-and-Tourism.txt,"飩?The use or development must, if within a Township Policy Area, be connected to a reticulated sewerage system or, if in any other policy area, be capable of properly treating all wastewaters and disposing of effluent within its site.",other
16-Recreation-and-Tourism.txt,飩?The site must be both suitable for and capable of supporting the use or development.,other
16-Recreation-and-Tourism.txt,"However there is a need to carefully plan and coordinate the development of these facilities, to ensure that the Region's most valued assets - its environmental and landscape qualities - are maintained.",other
16-Recreation-and-Tourism.txt,REGIONAL STRATEGY PLAN - RECREATION AND TOURISM 飩?Any advertisements or signs must be located and designed so that they do not detract from the landscape character or unnecessarily distract passing traffic.,other
16-Recreation-and-Tourism.txt,"16.12 Roadside facilities The planning and provision on road sides for wayside stopping places, picnic and scenic lookout points, and recreation facilities, must be carried out in a manner which causes minimal adverse impact on landscape values, Sites of Natural and Cultural Significance, traffic movements and the residents of the Region: 16.13 Tourist and visitor accommodation and related facilities Visitors to the Region, particularly overnight visitors, should be encouraged to stay longer, in order to stimulate local economies, to provide employment opportunities for local communities, and to spread the visitor loadings over longer periods of time.",other
16-Recreation-and-Tourism.txt,"REGIONAL STRATEGY PLAN - RECREATION AND TOURISM 16.07 Recreation and tourism in Landscape Living Policy Areas A limited range of recreational and tourist opportunities may be allowed in appropriate locations within Landscape Living Policy Areas, provided they are in keeping with and enhance the overall character of the area, and they maintain the visual, environmental quality and residential amenity of the area.",other
16-Recreation-and-Tourism.txt,飩?Optimise employment and economic benefits to the Region's residents from appropriate recreation and tourism developments.,other
16-Recreation-and-Tourism.txt,"This is necessary to reduce the pressures of over use on the important landscape, environmental and visitor attraction values of the Region, particularly in the Dandenong Ranges.",other
16-Recreation-and-Tourism.txt,飩?The intrinsic value of existing native vegetation and its value as habitat for wildlife must be protected.,other
16-Recreation-and-Tourism.txt,"The challenge is to ensure that such gains can be achieved with minimum disruption to the environment, to the amenity of the local area, and to its community.",other
16-Recreation-and-Tourism.txt,"Two of Victoria's major tourist attractions, the Healesville Sanctuary and the Puffing Billy Tourist Railway, are located within the Region.",other
16-Recreation-and-Tourism.txt,"REGIONAL STRATEGY PLAN - RECREATION AND TOURISM In the information provided on the Dandenong Ranges, visitors must be made aware of alternative facilities and attractions to the Dandenong Ranges in other parts of the Region.",other
16-Recreation-and-Tourism.txt,"REGIONAL STRATEGY PLAN - RECREATION AND TOURISM 飩?the possibility of including disused linear features such as the Silvan aqueduct, disused railway reserves, road reserves, stream reserves and utility easements to create a network of walking, horse riding and bicycle tracks throughout the Region; 飩?where appropriate, the feasibility of leasing private land for purposes of linear linkages with Public Land; 飩?the need for such facilities, and their integration with existing facilities in particular locations, and 飩?the effects on local residents, on the environment, and on the landscape of the area in which any such facility is to be situated.",other
16-Recreation-and-Tourism.txt,"The primary purpose of policies for recreation and tourism on Public Land is to manage, maintain, and where necessary, improve existing recreation and tourism facilities, and to provide additional facilities and opportunities for a variety of recreational and tourism activities, whilst ensuring that any adverse effects on natural resources, water quality, landscape, environmental character and environmental values, residential amenity and roads, are minimised.",other
16-Recreation-and-Tourism.txt,"In planning and developing recreation facilities and systems within the Region, Government Departments, public authorities, Councils and other agencies responsible for the management of those recreation facilities and systems must consider the approved recommendations of the Land Conservation Council, and must have regard to: 74.",authority
16-Recreation-and-Tourism.txt,"16.14 Caravan parks Land which is proposed to be used for a caravan park must either be located within: 飩?a Township Policy Area or a Rural Policy Area and be included within a zone that specifically provides for such uses; or 飩?the townships of Warburton, Healesville and Yarra Glen, where the use may be allowed subject to a planning permit.",permit_related
16-Recreation-and-Tourism.txt,"Councils should encourage and facilitate the provision of a range of tourist and visitor accommodation, in appropriate localities, in order to encourage tourists and visitors to stay in the Region for longer periods of time.",authority
16-Recreation-and-Tourism.txt,"飩?Encourage positive attitudes amongst the Region's residents, relevant bodies and local councils towards the development of recreation and tourism in the Region, including the provision of associated education and training opportunities and to provide for public consultation.",authority
16-Recreation-and-Tourism.txt,"The Department of Conservation Natural Resources, Melbourne Parks & Waterways, Council and other relevant public agencies, in consultation with Council, must review and coordinate the use of water frontages in the Yarra River catchment within the Region.",authority
16-Recreation-and-Tourism.txt,REGIONAL STRATEGY PLAN - RECREATION AND TOURISM 16.,other
16-Recreation-and-Tourism.txt,"16.26 Disused Lilydale-Healesville Railway Reserve Government Departments and Public Authorities which own/control and manage the Lilydale-Healesville Railway must, should this railway not be re-established as a commuter rail service, assist in the development of a strategy for its use as a `tourist' railway.",other
16-Recreation-and-Tourism.txt,"To achieve this, a planning permit must be required to develop new tourist accommodation establishments.",permit_related
16-Recreation-and-Tourism.txt,These plans should also provide for the publishing of brochures and other material promoting the use of these areas for suitable recreational activities.,other
16-Recreation-and-Tourism.txt,"REGIONAL STRATEGY PLAN - RECREATION AND TOURISM Camping grounds and camping opportunities for bushwalkers, cyclists, kayakers and rafters should only be allowed on Public Land or in appropriate locations near linear trails or near appropriate rivers.",other
16-Recreation-and-Tourism.txt,REGIONAL STRATEGY PLAN - RECREATION AND TOURISM 飩?it is temporary tourist accommodation provided by the resident of a dwelling; 飩?no more than 5 tourists are accommodated at any one time; 飩?no new building is constructed; and 飩?specified car parking and advertising sign requirements are met.,other
16-Recreation-and-Tourism.txt,"It integrates environmental objectives with economic and social goals, by encouraging the tourist industry to develop with themes compatible with environmental protection, and by creating jobs for local people.",other
16-Recreation-and-Tourism.txt,"16.24 The Yarra River System The Yarra River and its main tributaries below the major water supply reservoirs/dams must be recognised as a special recreational feature, and encouragement must be given to the provision of opportunities, where appropriate, for a variety of recreational activities, including walking tracks, picnic areas, and access for water-based activities.",other
16-Recreation-and-Tourism.txt,"Approximately 70% of the Region's land is held in public ownership, and within this area significant land has been set aside for parks.",other
16-Recreation-and-Tourism.txt,"These themes include: 飩?Lifestyle experiences, health, good living; 飩?Rural environment (space, vistas, agriculture); 飩?Wineries; 飩?Natural environment (mountains, forests, rivers and streams, flora and fauna); 飩?Major attractions (e.g.",other
16-Recreation-and-Tourism.txt,"16.09 Promotion of tourism and recreation The Region should be promoted for tourism and recreation through major themes, which have been identified as major strengths and which reflect the values important to the Region and its visitors.",other
16-Recreation-and-Tourism.txt,Both `developed' and `natural' parks within the Region attract thousands of visitors annually.,other
16-Recreation-and-Tourism.txt,"Donna Buang as an all-season tourist destination, with an emphasis on the nearest snow-play area to Melbourne, its magnificent scenery, and the opportunity for healthy outdoor activities, provided that the adjacent Watts River and Maroondah catchment are properly protected; 飩?development of a variety of tourist/visitor accommodation, including low-key farm holiday opportunities and associated outdoor activities; 飩?development of attractions associated with timber getting and gold mining; 飩?re-establishment of the historic rail service from Lilydale to Healesville, with the operation of old steam trains, and the re-development of Healesville Railway Station as an attraction featuring transportation history and related matters; 飩?development of roadside signs in appropriate locations to guide day-trippers to other tourist locations away from the Dandenong Ranges; 飩?development of and crafts activities related to established themes; and 飩?establishment of restaurants, tearooms and coffee houses reflecting the hospitality trade of the area.",other
16-Recreation-and-Tourism.txt,`Natural' recreation areas are generally found in the forested areas of the ranges surrounding the Yarra Valley and in the Olinda State Forest and at Mt.,other
16-Recreation-and-Tourism.txt,"16.16 Hotels Hotels may only be allowed within commercial or activity centres in Township Policy Areas, and must be controlled to protect the amenity of residents, and the visual and environmental quality of the area.",other
16-Recreation-and-Tourism.txt,Dandenong Ridge Area must be limited.,other
16-Recreation-and-Tourism.txt,"In the Dandenong Ranges, the diverse range of cultural attractions, the picturesque gardens, and the contrasting urban-rural landscapes and bushland settings provide an ideal focus for local, interstate and international visitors.",other
16-Recreation-and-Tourism.txt,"16.27 Linear Recreation Opportunities The development of a regional system of walking, horse riding and bicycle tracks, in a variety of landscapes connecting townships and other private land with Public Land, must be encouraged and coordinated.",other
16-Recreation-and-Tourism.txt,"16.19 General use and development policies for tourism and recreation facilities In order to conform with these policies, and to ensure the sustainability of environmental amenity and opportunities for recreation and tourism, any use or development for recreation or tourism purposes, which requires a planning permit, must comply with the following: 飩?Any undesirable effects of the use or development by reason of its appearance, discharge of wastes into the environment, excessive noise or traffic generation, or the like, must be minimised and/or controlled.",permit_related
16-Recreation-and-Tourism.txt,"16.20 Transport modes The use of transport modes other than private motor vehicles, for recreation and tourism activities, must be encouraged in order to lessen any adverse effects on the Region's environment and residential amenity, and to reduce traffic demands on the Region's road system.",other
16-Recreation-and-Tourism.txt,"16.25 Disused Lilydale-Warburton Railway Reserve Staged development of the Lilydale-Warburton Railway Reserve and other disused railway reserves for walking, cycling, horse riding and other compatible activities will be encouraged, without prejudice to the possible future use of these reserves for transport purposes if required.",other
16-Recreation-and-Tourism.txt,"As Melbourne continues to grow in area and population, particularly in the South East Growth Area (Berwick and Pakenham), it is expected that the number of Melbourne residents using major parks just beyond the metropolitan area will also grow.",other
16-Recreation-and-Tourism.txt,"Dandenong Ridge Area, must ensure that there is generally no further provision of such facilities within this area, but at the same time, recognise the possibility for upgrading and relocating existing facilities.",other
16-Recreation-and-Tourism.txt,"16.06 Recreation and tourism in Township Policy Areas The provision of recreation and tourism facilities and services in Township Policy Areas must be carried out in a manner which: 飩?ensures that any new facilities and/or services are located and designed to be compatible with the current and future needs of local residents and visitors, and 飩?maximises economic and other benefits to the local community, while minimising adverse impacts on the amenity of local residents, and on the area's landscape character and environment.",other
16-Recreation-and-Tourism.txt,"In addition, there is significant tourist activity associated with the Yarra Valley wine industry.",other
16-Recreation-and-Tourism.txt,"16.21 Primary purpose - Recreation and Tourism on Public Land Planning, provision and management of recreation facilities on Public Land is to be undertaken by the appropriate Government Department or public authority.",authority
16-Recreation-and-Tourism.txt,"16.15 Tourist accommodation The use or development of land for tourist accommodation must be controlled to protect the amenity of residents and the visual and environmental capacity of the area, and to ensure consideration is given to the primary purposes of the relevant policy area for the land.",other
16-Recreation-and-Tourism.txt,"飩?Encourage coordination of the planning, provision and promotion of recreation and tourism facilities in the Region.",other
16-Recreation-and-Tourism.txt,"The opportunity for residents to use such facilities and activities must also be considered 16.04 Protection of the environment, landscapes and resident鈥檚 amenity Wherever possible, and for all new developments, recreation and tourism activities must be conducted in appropriate locations in the Region, away from areas where the impacts of such activities could be detrimental to the area's residents or to its environmental and landscape values.",other
16-Recreation-and-Tourism.txt,"The reservoir parks associated with Melbourne鈥檚 water supply, such as Maroondah and Silvan reservoirs, have been popular for decades as a `developed' recreation setting.",other
16-Recreation-and-Tourism.txt,"16.11 Information and interpretation Tourism and recreation information and interpretation facilities for the Upper Yarra Valley and the Dandenong Ranges (including appropriate signage) need to be provided in appropriate locations, to inform visitors of the nature and location of tourism and recreation facilities and services available.",other
16-Recreation-and-Tourism.txt,"16.23 Promotion of Public Land for recreation Government Departments and Public Authorities responsible for the management of recreation facilities must, when preparing management plans, make provision for the establishment or continued use of appropriate recreation facilities in the Lysterfield Lake Park and other appropriate public land areas beyond the Mount Dandenong main ridge.",other
16-Recreation-and-Tourism.txt,"Healesville Sanctuary, Puffing Billy Railway, Upper Yarra Dam, Mt Donna Buang), and 飩?History and Heritage (e.g.",other
16-Recreation-and-Tourism.txt,"The designation of tourist routes must include consultation with Vic Roads, local Councils and, where appropriate, the Department of Conservation and Natural Resources, Melbourne Parks and Waterways and other relevant bodies.",authority
16-Recreation-and-Tourism.txt,"A number of recent recreational trends need to be taken into account in the planning, development and management of the Region's open space.",other
16-Recreation-and-Tourism.txt,"飩?Facilitate resolution of existing problems or deficiencies in tourism and recreation infrastructure, through coordination between Government Departments and other relevant public agencies, Councils and local tourism and recreation bodies.",authority
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"It also stipulates that: ""Any net increase in the total provision for residential development in the Policy Area shall be contained within the aims of this Policy.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"The Region's major road network andits publictransport system servetwodistinct areas of population, a southern sector covering the southern part of the Dandenong Ranges and the much larger northern sector including the Yarra Valleyand northern Dandenong Ranges.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"Other products important in the Region鈥檚 economy include fruit and vegetables, cattle grazing and dairying.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"DISTRIBUTOR AND LOCAL ROADS 3.1 Land UseManagementMeasures Measures aimedat theenhancement oflocal trafficareas consist of: (i) giving higher priority to local activities and safety consideration than to traffic movement; and (ii) restricting land uses, except schools, on Distributor Roads which generate large amounts oftraffic.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"Further research into the Yarra River and its tributaries, particularly the Yarra Valley wetlands, including measures for protection and rehabilitation of natural habitats and systems, shouldbeencouraged.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"86 Lot 1 Dalry Rd, Healesville.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"Approximately 70% of the Region's land is held in public ownership, and within this area significant land has been set aside for parks.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,Gazettal Authority Approval Details Policies Date Reference Date Affected Amendment no.,authority
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,REGIONALSTRATEGYPLAN - SCHEDULEFOUR-ENVIRONMENTALWEEDS Fragrant Violet Violaodorata Giant HoneyMyrtle Melaleucaarmillaris Golden WreathWattle Acaciasaligna Great Mullein Verbascumthapsus Hawthorn* Crataegus monogyna Hemlock Coniummaculatum HimilayanHoneysuckle Leycesteriaformosa Holly Ilexaquifolium HoneyMyrtle Melaleucahypericifolia ItalianBuckthorn Rhamnus alaternus JapaneseHoneysuckle Lonicera japonica Karamu Coprosmarobusta Karo Pittosporumcrassifolium Laurestinus Vibernumtinus MannaAsh Fraxinus ornus Montbretia Crocosmiaxcrocosmiifolia MorningGlory Ipomoeaindica MyrtleLeafMilkwort Polygaliamyrtifolia Pampas Grass Cortaderiaselloana PeruvianLily Alstromeriaaurea Plum Prunus spp.,component
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"Menzies Creek (Part,west of RB Sb6 WellingtonRoad) 115.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"Small Neighbourhood Activity Centres These centres have a more limited role in providing convenience retailing and community facilities for an Coldstream, Montrose, Mount immediate surrounding catchment.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"35 90.0054 This amendment is to Affected provide for the extension of Policies; Urban Policy areas in the Urban Policy Lilydale area, in particular to Area Maps.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,Frenchman鈥檚 Spur Outstandingareas ofalpinevegetation currentlyunderthreat ofloggingand/or clearing.,other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"5.02 Regional Goals and Objectives The regional goal for Rural Policy Areas is to ensure that rural land in the Region is protected and maintained for agricultural and rural activities and that rural landscapes are protected, maintained and where necessary improved, for the benefit of the present andfuturegenerations.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,Gazettal Authority Approval Details Policies Date Reference Date Affected Amendment no.,authority
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,REGIONALSTRATEGYPLAN - HUMANSERVICES 12.,other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"Lot 1 LP 124378, Dalry Road, Launnching Place, may be subdivided 5.17 into 2 lots subject to the grant of a permit and to an agreement under Am 86 Section 173 of the Planning & Environment Act to protect remnant vegetation.",permit_related
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,Amendment NO.18 will be revoked.,other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"飩?Retain, maintain and enhance the important and immediate existing visual environs ofthePuffingBillyRailway.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"66 93/0215 Site-specific (Sec.21) amendment, M.T.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,THE REGION AND ITS FUTURE 4 3.,other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"These programs are designed to jointly satisfy the environmental impact question, and also to help landowners facing difficulties withtheseproblem subdivisions.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,Melbourne Water is also involved in fire prevention and suppression on land under its control.,other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"The resources of Public Land in the Region have values for water and timber production, flora and fauna conservation, tourism and recreation, landscape protection andmany otherminoruses.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"Except for the provision of a dependent relative unit, onlyone house maybe allowed on anylot ortenement holding(whereit applies).",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"4.6 The susceptibility of the Yarra River and its tributaries to local and regional flooding, their importance for drainage, and the need to integrate land use planningwithfloodplainmanagement.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"59 93/0249 Site-specific subdivision ** approved, not yet exception, Glenview Rd, incorporated in Monbulk [8.30] (j) ] (See strategy plan L106) Amendment no.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"8129 fol.863) Warburton Hwy, Wandin 5.17 North, may be subdivided into 2 lots generally in accordance with the Am 89 plan prepared by Millar and Merigan (drawing no.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"36 89 This amendment is to provide for the approval of an amendment to the Healesville Planning Scheme, and is a Sec'n 20 'Ministerial' amendment to release a 'tenement control from CA.",authority
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"98 Lubra Bend, Healesville Amendment no.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,Water Harvesting 17.03 Primary Purpose The primary purpose of the water harvesting policies is to maintain the opportunity for high water quality harvesting for domestic and other beneficial uses from the Yarra Riverandothercatchments withintheRegion.,other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"19.12 Public Transport - General Policies To ease problems of accessibility and to assist in the conservation of fuel, public transport services and facilities in the Region must be maintained, and where possible improved,tomeet theneeds ofpublictransport users, includingas appropriate: 飩?extensionofpublictransport services; 飩?integrationofbus andrail schedules; 飩?improved car parking provisions and other interchange facilities at railway stations; 飩?provisionofbetterpublictransport informationsystems; and 飩?promotion aimed towards improved patronage of existing bus, rail and other publictransport services.",other
Am-122-Upper-Yarra-Valley-and-Dandenong-Ranges-RSP-Amendment.txt,"As in the Rural Landscape 1 Policy Area, the land in this Policy Area has been extensively subdivided.",other
